Humidity,Apparent Temperature (C)
0.77,11.13333333
0.77,11.43888889
0.81,13.03333333
0.62,17.24444444
0.53,17.73888889
0.56,17.84444444
0.56,18.86111111
0.56,18.66666667
0.56,17.82222222
0.59,17.8
0.57,17.35
0.67,16.06666667
0.73,14.93333333
0.78,13.92222222
0.84,12.75555556
0.84,12.75555556
0.86,12.37222222
0.93,11.18333333
0.9,11.66666667
0.95,7.366666667
0.93,10.57777778
0.89,10.53333333
0.87,10.58888889
0.89,9.283333333
0.86,11.02222222
0.75,13.53888889
0.68,13.88888889
0.67,15
0.57,17.18333333
0.62,16.2
0.56,17.75
0.54,18.40555556
0.59,17.82222222
0.57,17.31111111
0.55,17.50555556
0.54,17.26666667
0.61,15.13888889
0.69,13.25
0.72,12.29444444
0.79,10.7
0.85,9.388888889
0.88,7.861111111
0.92,8.405555556
0.82,13.01111111
0.96,7.733333333
0.96,6.138888889
0.95,6.472222222
0.96,6.627777778
0.93,8.688888889
0.81,11.99444444
0.78,13.76666667
0.77,15.08888889
0.68,16.45555556
0.62,17.31111111
0.64,17.87222222
0.47,19.03888889
0.51,18.97777778
0.55,19.00555556
0.53,19.01111111
0.64,17.86666667
0.62,17.26666667
0.61,16.18888889
0.72,14.88333333
0.75,14.32777778
0.75,14.51111111
0.75,14.37222222
0.72,14.87777778
0.92,10.40555556
0.83,12.82222222
0.85,12.8
0.86,12.82777778
0.85,12.26666667
0.85,12.26666667
0.82,12.18333333
0.8,12.17222222
0.83,12.71111111
0.78,15.60555556
0.78,16.02222222
0.67,17.2
0.71,17.21666667
0.69,17.82777778
0.69,17.82777778
0.69,17.73333333
0.71,16.27222222
0.93,13.16666667
0.93,13.25555556
0.93,13.01111111
0.91,12.45555556
0.9,12.48888889
0.8,8.85
0.79,10.62222222
0.93,8.722222222
0.77,10.53333333
0.83,8.705555556
0.83,9.327777778
0.78,10.36666667
0.89,7.233333333
0.84,8.994444444
0.73,12.2
0.67,13.96111111
0.67,14.94444444
0.71,16.18333333
0.61,16.36666667
0.57,17.37222222
0.51,17.67222222
0.53,17.72222222
0.61,16.23888889
0.71,14.06666667
0.76,13.95555556
0.8,12.28888889
0.86,10.02222222
0.86,8.65
0.9,9.416666667
0.92,11.82777778
0.91,10.76111111
0.95,12.15555556
0.94,9.188888889
0.94,7.15
0.95,10.2
0.99,10.11666667
0.99,10.16111111
0.98,11.24444444
0.99,12.24444444
0.92,13.91111111
0.82,15.61666667
0.86,15.07222222
0.82,15.07222222
0.87,14.26666667
0.81,16.01666667
0.86,15.02777778
0.89,13.94444444
0.95,12.91666667
0.95,12.89444444
0.98,12.4
0.99,12.26666667
0.96,12.22222222
0.96,11.25
0.96,11.52777778
0.96,11.53888889
0.96,8.85
0.96,11.43888889
0.96,11.39444444
0.96,11.52777778
0.93,11.95
1,11.97222222
0.96,12.63333333
0.96,12.75555556
0.9,13.84444444
0.94,13.17222222
0.86,15.06666667
0.75,17.24444444
0.76,16.31666667
0.74,17.38333333
0.76,15.27222222
0.72,17.45555556
0.77,16.22222222
0.82,15.08333333
0.88,13.99444444
0.92,12.17222222
0.95,11.08888889
0.95,11.09444444
0.96,9.883333333
0.96,8.633333333
0.96,9.861111111
0.99,8.272222222
0.96,8.866666667
0.96,8.816666667
1,7.155555556
0.99,8.85
0.93,11.17777778
0.98,12.38888889
0.88,14.14444444
0.72,17.1
0.64,18.93888889
0.68,17.91666667
0.53,19.98333333
0.62,20.07222222
0.56,20.07222222
0.58,20.08333333
0.63,19.08888889
0.62,17.45
0.74,15.56666667
0.91,12.49444444
0.89,12.24444444
0.92,11.41666667
0.95,10.55555556
0.93,10.46666667
0.95,10.25
0.96,9.355555556
0.96,8.311111111
0.96,8.811111111
0.93,7.933333333
0.93,11.93333333
0.84,14.51666667
0.68,18.73333333
0.6,20.02777778
0.55,21.03888889
0.46,20.73888889
0.48,22.31666667
0.5,22.11111111
0.38,22.73333333
0.37,22.77777778
0.41,21.21666667
0.45,20.18333333
0.68,18.01111111
0.65,17.42222222
0.82,13.96111111
0.89,13.28888889
0.89,12.32222222
0.95,11.11666667
0.95,10.53333333
0.8,12.38333333
0.96,9.861111111
0.95,8.872222222
0.94,8.672222222
1,7.688888889
0.99,10.91111111
0.82,14.83888889
0.65,18.8
0.49,21.09444444
0.49,22.02777778
0.47,22.82777778
0.37,22.91666667
0.37,23.91666667
0.4,23.91111111
0.37,23.93333333
0.32,23.91666667
0.44,22.82222222
0.48,21.22777778
0.51,19.07777778
0.63,17.06111111
0.72,14.90555556
0.87,13.08333333
0.89,12.71111111
0.89,12.12777778
0.84,11.81111111
0.8,12.01666667
0.8,12.04444444
0.86,10.62777778
0.99,8.688888889
0.9,12.55555556
0.78,15.00555556
0.74,17.33888889
0.67,19.1
0.57,21.26111111
0.54,22.41111111
0.5,22.93888889
0.47,23.92777778
0.47,23.96111111
0.38,23.96111111
0.42,23.11111111
0.44,22.82222222
0.47,21.11111111
0.58,18.18888889
0.72,16.01666667
0.72,15.46666667
0.76,14.60555556
0.82,13.31111111
0.83,12.73333333
0.77,13.78888889
0.88,10.57777778
0.92,10.48333333
0.91,10.28888889
0.92,9.972222222
0.9,13.63888889
0.74,16.73888889
0.65,18.83888889
0.59,21.16111111
0.53,22.58888889
0.48,22.89444444
0.47,24.00555556
0.35,24.00555556
0.44,23.97777778
0.32,25.04444444
0.35,24.07777778
0.45,22.38333333
0.52,21.20555556
0.62,18.26111111
0.67,17.2
0.75,15.99444444
0.79,15.96111111
0.72,15.44444444
0.75,14.37222222
0.9,13.60555556
0.82,12.82222222
0.83,12.75
0.92,11.41666667
0.86,12.33333333
0.78,14.90555556
0.74,15.89444444
0.72,17.22777778
0.73,17.82777778
0.72,17.91666667
0.67,19.05555556
0.67,20.14444444
0.62,20.26111111
0.62,21.20555556
0.67,21.25555556
0.66,20.23333333
0.71,19.07777778
0.77,17.94444444
0.82,15.49444444
0.89,14.14444444
0.86,14.53888889
0.86,14.13888889
0.9,13.4
0.9,13.42777778
0.74,11.58888889
0.83,14.42222222
0.86,13.91666667
0.9,13.4
0.9,13.86666667
0.84,14.90555556
0.74,15.93333333
0.65,17.12777778
0.58,18.75
0.6,18.96111111
0.54,19.99444444
0.5,21.11111111
0.46,21.09444444
0.43,21.17777778
0.41,21.22777778
0.45,20.1
0.51,19.02777778
0.59,17.85
0.66,16.26111111
0.72,14.98333333
0.65,14.46666667
0.6,13.94444444
0.65,12.31666667
0.66,11.76111111
0.62,10.82777778
0.73,10.13888889
0.71,10.62777778
0.69,10.60555556
0.71,10.07222222
0.71,11.16111111
0.67,12.88888889
0.6,15.05
0.59,15.16111111
0.56,16.27222222
0.46,17.8
0.46,17.93888889
0.41,18.85555556
0.43,17.98888889
0.51,17.96111111
0.47,17.36111111
0.52,16.25
0.47,14.12222222
0.55,12.95
0.52,12.24444444
0.57,11.68888889
0.59,11.15555556
0.9,8.627777778
0.9,8.2
0.77,7.3
0.93,7.788888889
0.93,7.505555556
0.95,4.194444444
0.93,5.855555556
1,5.933333333
1,10.40555556
0.78,12.54444444
0.77,13.86111111
0.63,15.97777778
0.57,17.26666667
0.5,17.84444444
0.54,16.42777778
0.46,17.77777778
0.45,17.84444444
0.5,17.3
0.65,15.18333333
0.7,13.00555556
0.74,12.69444444
0.72,12.19444444
0.71,12.08333333
0.74,10.61666667
0.57,11.6
0.6,11.02222222
0.6,11.88888889
0.64,10.41666667
0.67,10.3
0.72,7.5
0.68,7.933333333
0.67,10.93333333
0.66,11.65555556
0.55,13.93888889
0.54,15.02777778
0.47,16.03888889
0.51,15.22777778
0.44,16.20555556
0.43,17.3
0.43,17.77777778
0.38,17.8
0.39,17.26111111
0.38,17.2
0.45,15.02222222
0.47,13.92777778
0.57,12.36666667
0.59,12.29444444
0.56,12.78888889
0.76,8.677777778
0.71,7.966666667
0.91,4.911111111
0.78,5.855555556
0.82,4.755555556
0.82,5.894444444
0.84,6.538888889
0.84,5.555555556
0.89,4.088888889
0.96,4.333333333
0.95,5.35
0.95,6.233333333
0.94,5.455555556
0.81,10.22777778
0.74,11.36111111
0.7,12.45
0.67,12.91666667
0.62,12.55
0.69,12.38333333
0.75,10.22777778
0.78,7.811111111
0.87,6.622222222
0.91,5.727777778
0.91,4.938888889
0.95,4.15
0.95,1.705555556
0.89,9.272222222
0.92,2.866666667
0.92,1.666666667
0.92,2.516666667
0.96,0.472222222
1,2.644444444
0.93,5.105555556
0.88,6.533333333
0.79,11.20555556
0.7,12.85
0.63,13.96111111
0.51,14.97777778
0.57,14.02777778
0.51,15.02222222
0.54,15.04444444
0.5,15.08888889
0.51,14.95
0.59,13.81666667
0.64,12.91666667
0.59,13.83888889
0.69,12.75555556
0.74,12.65
0.8,11.68888889
0.88,10.62777778
0.91,3.755555556
0.92,10.05
0.93,9.977777778
0.95,9.377777778
0.99,8.661111111
0.95,4.261111111
0.93,4.683333333
0.92,2.011111111
0.85,2.233333333
0.82,2.25
0.86,2.705555556
0.93,2.711111111
0.93,3.205555556
0.86,4.15
0.93,2.344444444
0.93,2.305555556
0.93,1.055555556
0.92,1.944444444
0.93,1.816666667
0.93,2.438888889
0.93,1.877777778
0.87,1.538888889
0.92,1.277777778
0.92,1.194444444
0.83,1.044444444
0.86,1.844444444
0.83,2.35
0.89,1.277777778
0.86,1.288888889
0.83,1.483333333
0.84,1.244444444
0.65,4.166666667
0.67,5.022222222
0.64,6.65
0.57,6.055555556
0.5,7.1
0.55,10.09444444
0.46,11.06111111
0.42,10.13888889
0.42,11.01111111
0.49,10.11666667
0.57,7.916666667
0.63,7.333333333
0.75,5.05
0.76,2.422222222
0.77,2.583333333
0.82,2.288888889
0.85,-0.155555556
0.81,3.938888889
0.85,0.961111111
0.92,-0.161111111
0.9,2.155555556
0.92,0.955555556
0.92,0.955555556
0.82,5.594444444
0.66,7.777777778
0.54,11.07222222
0.48,11.05555556
0.43,12.24444444
0.41,12.85
0.38,12.88888889
0.4,12.91666667
0.46,13.88888889
0.48,13.02222222
0.49,12.38333333
0.57,10.20555556
0.62,8.088888889
0.68,6.1
0.65,6.672222222
0.69,6.138888889
0.74,4.783333333
0.76,4.077777778
0.72,5.988888889
0.82,2.194444444
0.91,2.244444444
0.93,0.227777778
0.92,-0.866666667
0.89,0.911111111
0.79,3.638888889
0.66,10.00555556
0.52,12.24444444
0.5,12.93888889
0.5,13.98333333
0.44,15.09444444
0.43,16.25
0.41,17.26666667
0.38,17.28888889
0.37,17.38888889
0.38,17.28888889
0.44,15.08888889
0.58,11.71111111
0.61,11.16111111
0.68,10.02777778
0.65,10.13888889
0.87,21.01666667
0.9,19.44444444
0.81,20.72222222
0.93,18.79444444
0.93,17.73333333
0.95,17.60555556
0.93,18.73333333
0.8,22.55555556
0.7,24.76111111
0.56,28.03333333
0.55,30.13888889
0.42,31.17222222
0.38,32.22222222
0.32,31.27222222
0.35,31.41111111
0.38,32.68888889
0.4,32.16111111
0.41,32.51111111
0.39,30.75
0.5,29.15
0.59,28.15
0.65,24.69444444
0.7,24.13888889
0.77,23.12222222
0.92,15.56111111
0.87,15.49444444
0.91,16.53888889
0.9,13.8
0.9,13.31666667
0.92,12.60555556
0.93,12.32777778
0.87,14.96666667
0.87,16.26111111
0.92,16.25
0.89,18.88888889
0.76,21.35
0.76,21.20555556
0.72,22.33888889
0.66,23.03333333
0.62,23.91111111
0.51,24.97777778
0.58,23.8
0.53,23.59444444
0.68,22.50555556
0.78,20.01666667
0.74,19.91111111
0.76,19.35555556
0.85,17.88333333
0.89,17.25
0.92,16.62777778
0.84,15.84444444
0.92,17
0.86,17.06666667
0.79,16.50555556
0.83,14.98333333
0.81,16.02222222
0.81,16.16111111
0.68,18.84444444
0.68,21.11666667
0.62,22.50555556
0.54,23.79444444
0.51,23.88888889
0.44,25.83333333
0.43,25.92777778
0.42,25
0.43,24.94444444
0.45,24.92777778
0.51,22.8
0.7,19.33888889
0.78,17.80555556
0.75,17.78333333
0.79,16.48888889
0.83,15.69444444
0.81,15.62777778
0.93,16.21111111
0.84,15.57777778
0.81,15.57777778
0.81,15.60555556
0.83,15.05
0.73,17.06666667
0.72,17.48333333
0.71,17.66666667
0.69,18.8
0.67,19.68333333
0.78,18.82222222
0.77,20
0.72,21.15
0.67,23.65555556
0.6,23.61666667
0.62,23.81666667
0.7,22.03888889
0.7,19.95
0.8,18.92222222
0.88,17.26666667
0.9,16.17777778
0.93,15.83333333
0.93,16.73333333
0.97,16.71111111
0.97,16.26666667
0.97,16.13888889
0.97,16.08888889
0.96,15.55555556
1,14.51666667
0.99,17.08888889
0.96,17.66666667
0.85,19.79444444
0.74,22.01666667
0.73,21.13888889
0.73,21.04444444
0.89,18.93888889
0.9,18.91666667
0.78,20.05
0.73,21.06666667
0.78,20.05
0.83,20
0.9,18.86666667
0.96,17.95555556
0.97,17.71111111
0.93,17.73333333
0.97,16.79444444
0.97,16.66666667
0.97,16.16111111
0.91,17.01111111
0.97,16.11666667
0.97,16.11666667
0.96,15.55555556
1,14.00555556
0.93,16.11666667
0.93,16.05
0.99,16.21111111
0.89,17.80555556
0.84,18.88333333
0.77,20.18888889
0.67,22.26666667
0.7,22.35555556
0.54,23.86666667
0.58,23.88888889
0.56,22.95555556
0.58,22.47777778
0.7,20.85555556
0.82,19.16111111
0.84,17.73333333
0.81,18.23888889
0.88,17.81666667
0.84,17.71111111
0.9,17.2
0.9,15.30555556
0.93,16.55
0.96,16.09444444
0.93,15.55
0.93,14.93333333
0.93,17.08888889
0.85,18.65555556
0.79,19.81111111
0.73,21.06111111
0.63,22.20555556
0.57,22.75
0.54,23.79444444
0.51,23.48333333
0.53,23.96111111
0.5,24.95
0.53,23.95555556
0.5,23.95555556
0.54,23.86111111
0.75,19.26666667
0.87,17.28888889
0.93,16.62222222
0.87,16.67222222
0.93,15.07222222
0.93,14.51666667
0.8,17.84444444
0.93,14.44444444
0.96,13.88888889
0.9,14.43333333
0.87,14.92777778
0.82,17.04444444
0.78,18.78888889
0.73,21.16111111
0.62,23.86666667
0.56,24.96666667
0.47,26.13333333
0.44,27.26111111
0.39,27.35555556
0.4,27.5
0.39,27.4
0.37,27.37777778
0.43,26.15555556
0.54,23.97777778
0.58,22.57222222
0.6,21.13888889
0.67,20.43888889
0.7,20.42777778
0.74,19.35555556
0.76,18.75
0.85,19.87777778
0.84,17.22222222
0.87,16.64444444
0.88,16.55
0.87,16.09444444
0.84,17.66666667
0.7,20.78333333
0.67,22.73333333
0.55,26.01666667
0.58,26.12777778
0.51,29.61111111
0.51,29.75
0.45,31.71111111
0.36,30.6
0.41,31.26111111
0.41,31.32777778
0.48,30.70555556
0.58,29.07222222
0.66,25.40555556
0.79,22.75555556
0.79,22.68888889
0.84,21.2
0.81,21.55
0.82,21.43888889
0.92,19.50555556
0.88,19.86111111
0.87,19.33333333
0.91,18.75
0.9,18.84444444
0.87,19.91111111
0.81,22.10555556
0.69,24.95
0.74,25
0.67,29.12777778
0.62,29.62777778
0.5,31.27222222
0.45,31.68888889
0.47,32.45555556
0.42,32.91111111
0.4,33.17777778
0.44,31.62222222
0.54,30.16666667
0.64,26.47777778
0.73,22.91666667
0.73,23.38333333
0.83,22.45
0.77,22.6
0.9,19.98333333
0.87,20.95555556
0.9,18.87222222
0.93,18.33888889
0.93,18.85
0.99,17.27777778
0.87,19.91666667
0.74,23.6
0.61,25.99444444
0.55,28.62222222
0.5,29.36666667
0.47,30.38888889
0.45,31.59444444
0.41,32.42222222
0.42,32.75
0.39,32.22777778
0.44,31.68888889
0.44,31.62222222
0.64,28.80555556
0.68,25.45555556
0.84,22.8
0.79,23.21666667
0.85,22.23888889
0.84,20.41666667
0.85,19.88333333
0.92,16.81111111
0.9,19.37777778
0.93,18.86666667
0.93,18.88333333
0.97,17.87222222
0.99,18.93888889
0.92,20.08888889
0.87,21.08888889
0.81,22.17777778
0.71,23.53333333
0.69,23.84444444
0.62,24.95555556
0.58,25.92222222
0.62,24.96111111
0.58,24.79444444
0.62,23.75555556
0.68,22.12777778
0.68,21.06111111
0.68,21.06666667
0.84,18.86666667
0.84,18.26666667
0.86,17.87777778
0.9,21.08888889
0.87,21.55
0.85,18.78333333
0.93,19.97777778
0.88,20.99444444
0.88,19.98888889
0.97,18.86666667
0.82,22.08888889
0.75,23.77222222
0.6,28.33888889
0.55,30.06111111
0.55,33.38333333
0.46,33.46111111
0.5,35.49444444
0.44,34.13333333
0.43,32.97777778
0.45,31.9
0.42,32.73888889
0.45,31.72222222
0.55,30.12777778
0.65,26.41111111
0.75,23.81666667
0.79,23.31111111
0.72,24.53888889
0.72,21.96666667
0.79,19.88333333
0.86,14.98888889
0.9,17.77777778
0.89,17.22222222
0.87,16.76666667
0.81,17.17777778
0.78,17.71111111
0.83,17.76111111
0.73,19.90555556
0.68,21.11666667
0.68,21.19444444
0.64,22.25
0.72,21.25555556
0.63,22.64444444
0.62,22.80555556
0.7,22.82777778
0.66,22.63333333
0.82,20.18888889
0.77,20.18333333
0.88,19.07222222
0.95,17.87222222
0.92,17.25
0.89,16.32777778
0.87,15.05555556
0.83,14.98888889
0.95,13.20555556
0.9,13.36666667
0.84,14.31666667
0.84,14.33888889
0.9,12.74444444
0.83,14.85
0.75,17.47222222
0.64,19.97777778
0.59,22.17777778
0.53,22.7
0.48,23.91111111
0.42,24.95
0.39,25.01111111
0.42,25.01666667
0.42,24.92777778
0.44,23.99444444
0.45,23.81111111
0.59,21.16111111
0.65,19.85
0.86,17.2
0.89,16.68888889
0.91,16.27777778
0.92,15.02777778
0.95,13.96111111
0.9,13.24444444
0.93,13.31666667
0.95,12.3
0.95,12.55
0.93,12.20555556
0.93,13.80555556
0.81,16.15555556
0.78,17.78333333
0.68,19.93333333
0.62,21.08333333
0.61,20.02777778
0.68,20.07777778
0.63,20.97777778
0.63,22.33888889
0.54,23.73333333
0.54,22.66111111
0.57,22.77777778
0.63,21.13888889
0.73,18.03333333
0.81,16.21111111
0.84,16.09444444
0.87,15.57222222
0.92,13.9
0.9,13.85555556
0.81,15.18888889
0.96,11.67777778
0.96,11.09444444
0.96,10.78888889
0.93,11
0.99,12.6
0.8,17.52222222
0.68,19.98888889
0.59,22.25
0.52,22.94444444
0.47,24.95555556
0.45,25.05
0.41,25.98333333
0.43,26.13333333
0.42,25.06666667
0.38,25.21111111
0.42,25.04444444
0.53,22.33333333
0.6,20.31111111
0.7,17.75555556
0.69,18.17222222
0.72,17.26111111
0.71,17.06111111
0.71,16.62222222
0.91,14.76111111
0.8,15.06666667
0.81,16.16111111
0.9,15.11666667
0.87,15.02222222
0.76,17.10555556
0.76,17.29444444
0.73,20.9
0.62,22.65
0.63,22.58888889
0.65,22.03888889
0.64,22.22222222
0.65,22.33333333
0.66,22.82777778
0.59,23.81666667
0.62,22.86111111
0.66,22.7
0.65,22.01666667
0.74,19.92222222
0.84,17.71111111
0.81,17.22222222
0.84,17.25555556
0.87,16.06666667
0.9,16.02222222
0.82,15.09444444
0.96,13.79444444
0.96,13.35555556
0.95,13.91666667
0.93,13.83888889
1,13.88888889
0.93,15.2
0.84,17.75
0.64,21.03888889
0.59,22.2
0.51,22.77777778
0.48,23.88888889
0.45,24.81111111
0.45,24.92777778
0.42,24.92777778
0.42,24.87222222
0.45,23.83888889
0.55,22.17222222
0.69,18.46111111
0.81,16.13333333
0.84,15.55555556
0.81,15.6
0.85,14.07222222
0.83,14.46111111
0.83,16.72222222
0.79,15.48888889
0.9,13.88888889
0.9,12.67222222
0.9,13.83888889
0.87,15.05
0.79,17.71111111
0.63,21
0.57,22.66666667
0.51,23.66666667
0.45,24.93333333
0.46,24.86111111
0.42,24.83888889
0.45,25
0.39,26.11111111
0.4,25.91111111
0.48,23.88888889
0.59,21.11111111
0.72,18.24444444
0.75,17.24444444
0.81,16.17777778
0.74,17.79444444
0.78,16.66666667
0.81,16.18888889
0.95,13.35
0.93,15.55555556
0.93,15
0.96,14.51666667
0.93,15
0.93,15
0.94,15
0.93,15.11666667
0.93,15.11666667
0.92,16.24444444
0.84,17.87222222
0.73,19.05
0.67,20.91666667
0.63,21.06111111
0.63,21.11111111
0.61,21.21111111
0.67,20.07222222
0.77,17.89444444
0.79,17.48888889
0.86,16.16111111
0.81,16.16111111
0.87,15.16666667
0.93,13.87222222
0.96,12.75555556
0.95,12
1,12.75
0.96,13.35555556
0.95,13.58333333
0.93,13.91111111
0.93,14.95
0.93,14.92222222
0.93,14.90555556
0.93,13.91111111
0.87,14.97222222
0.8,16.16111111
0.65,17.82777778
0.53,18.77222222
0.49,19.9
0.45,19.95
0.46,19.10555556
0.43,18.93333333
0.58,16.22777778
0.73,14.30555556
0.89,12.85
0.92,12.75555556
0.92,12.38333333
0.87,17.13888889
0.9,16.62222222
0.9,19.36111111
0.9,16.01666667
0.9,16.03888889
0.93,16.12222222
0.88,17.06111111
0.87,17.2
0.9,17.78333333
0.96,17.85
0.96,17.87222222
0.94,18.08888889
0.89,19.08333333
0.68,22.25555556
0.67,22.68333333
0.59,24.78888889
0.64,24.87777778
0.64,24.88333333
0.65,24.83333333
0.7,23.61111111
0.82,22.12777778
0.87,19.92777778
0.9,19.88333333
0.93,19.92222222
0.95,11.64444444
0.93,11.08333333
0.89,11.32222222
0.99,12.17222222
0.99,12.17222222
0.92,12.69444444
0.99,12.2
0.92,12.22222222
0.93,12.30555556
0.93,12.25
0.92,12.3
0.9,12.73888889
0.9,12.82777778
0.89,12.87222222
0.9,13.76666667
0.89,13.93888889
0.89,13.98888889
0.84,14.91111111
0.82,15.07222222
0.89,13.93888889
0.89,13.08888889
0.83,12.85
0.8,12.3
0.85,12.71111111
0.86,12.22222222
0.86,11.66666667
0.78,13.46111111
0.86,11.11666667
0.77,12.77777778
0.85,11.11111111
0.86,11.16111111
0.77,12.71111111
0.78,12.78888889
0.77,13.88888889
0.68,15.94444444
0.75,15.28333333
0.83,15.01666667
0.83,14.99444444
0.88,14.09444444
0.82,15.13888889
0.77,16.16111111
0.73,17.06111111
0.72,17.22222222
0.72,16.11111111
0.78,15
0.78,15
0.78,14.97777778
0.78,14.33333333
0.97,19.4
0.93,19.42222222
0.95,15.82777778
0.91,19.28333333
0.94,18.79444444
0.97,17.82222222
1,17.75555556
0.93,18.77222222
0.93,18.76666667
1,17.71111111
0.97,17.71111111
0.9,18.78888889
0.87,19.79444444
0.87,19.93333333
0.82,20.89444444
0.86,19.93333333
0.92,18.91666667
0.92,19.02222222
0.89,18.96111111
0.89,18.88888889
0.9,18.81111111
0.93,17.15555556
0.93,17.59444444
0.94,16.62777778
0.97,16.46111111
0.96,15.44444444
0.93,13.65
0.96,14.36111111
0.96,13.82777778
0.96,13.43888889
0.99,13.82777778
0.93,14.91111111
0.93,15.05555556
0.87,16.13888889
0.87,16.22777778
0.87,17.25555556
0.86,17.41111111
0.83,17.93888889
0.77,19.08333333
0.72,20.16111111
0.59,22.26666667
0.55,22.5
0.62,21.22777778
0.67,21.10555556
0.73,19.05555556
0.81,17.25
0.86,16.16111111
0.89,15.32777778
0.92,13.98888889
0.93,13.93888889
0.95,15.40555556
0.93,12.73888889
0.93,12.73888889
0.96,12.42222222
1,12.17777778
0.93,13.91666667
0.8,17.55555556
0.69,19.90555556
0.64,21.01666667
0.64,22.03888889
0.56,22.10555556
0.55,23.74444444
0.54,24.59444444
0.54,22.65
0.51,23.75
0.5,23.77222222
0.59,22.24444444
0.64,22.10555556
0.76,19.19444444
0.87,17.24444444
0.9,16.71111111
0.9,16.76111111
0.95,15.14444444
0.93,15.67222222
0.96,16.18888889
0.9,16.06666667
0.93,16.06666667
0.95,15.7
0.93,16.04444444
0.93,17.17777778
0.89,17.92222222
0.74,19.88333333
0.74,20.92777778
0.65,22.05
0.64,22.17222222
0.59,23.66111111
0.6,22.2
0.61,21.96666667
0.61,21.9
0.73,20.04444444
0.79,18.86666667
0.81,18.86666667
0.9,17.87222222
0.93,17.22222222
0.93,17.22222222
0.97,16.76666667
0.97,16.68888889
0.97,17.15
0.96,14.93333333
0.97,16.62222222
0.97,16.06111111
0.96,15.67777778
0.93,16.13333333
0.99,16.18333333
0.94,17.19444444
0.9,17.77777778
0.79,19.88333333
0.79,19.93888889
0.67,22.62222222
0.68,22.16111111
0.78,21.12222222
0.68,22.2
0.66,22.75555556
0.68,22.18888889
0.65,22.08333333
0.73,19.97777778
0.78,18.01666667
0.87,16.25
0.9,15.67222222
0.9,15.74444444
